"number","title","pageid","namespace","length","touched"
"1","Crêpe","598","","23506","20220826115739"
"2","Cuisine_québécoise","838","","80337","20220615163620"
"3","Inuktitut","1560","","13129","20220818223544"
"4","Fête_nationale_du_Québec","4860","","26655","20220807171939"
"5","Montréal","5525","","245058","20220828152901"
"6","Fleuve_Saint-Laurent","5745","","41339","20220826221707"
"7","Île_de_Montréal","6444","","15058","20220731223833"
"8","Rivière_des_Outaouais","6445","","28360","20220228203849"
"9","Système_éducatif_au_Québec","8024","","63652","20220725011018"
"10","Cégep","8173","","28012","20220401210804"
"11","Québécois_libre","16525","","3945","20220329153411"
"12","Parc_national_de_Miguasha","21372","","31162","20220411162631"
"13","Hubert_Reeves","27167","","36989","20220810175522"
"14","Région_administrative_du_Québec","28754","","29255","20220427201848"
"15","Saguenay–Lac-Saint-Jean","28762","","73237","20220822194722"
"16","Jean-Pierre_Ronfard","29422","","3780","20201228134541"
"17","Wilfrid_Lemoine","29588","","19137","20211221133808"
"18","Jeux_olympiques_d'été_de_1976","30671","","50695","20220505200840"
"19","Nouvelle-France","32871","","54618","20220821054139"
"20","Géographie_du_Québec","34647","","23736","20220730195948"
"21","Histoire_du_Québec","34653","","95784","20220805215940"
"22","Français_québécois","34656","","105380","20220424130055"
"23","Révolution_tranquille","34815","","53860","20220323174604"
"24","Vaira_Vīķe-Freiberga","35198","","22615","20220530065806"
"25","René_Lévesque","36606","","221988","20220824052308"
"26","Municipalité_locale_(Québec)","36906","","59686","20220408094203"
"27","Jacques_Villeneuve","37008","","71113","20220713121528"
"28","Ô_Canada_!_mon_pays,_mes_amours","37392","","3764","20220418012553"
"29","Culture_québécoise","39371","","33634","20220729105842"
"30","Jean_Chrétien","41580","","38944","20220810191631"
"31","Université_de_Montréal","41869","","74639","20220817183703"
"32","Mont_St-Benoît","41886","","960","20190209154535"
"33","Victor_et_Berthold","42060","","2234","20201125173948"
"34","Bas-Saint-Laurent","42126","","108132","20220307125537"
"35","Jacques_Cartier","45313","","53967","20220805114012"
"36","Norman_McLaren","45659","","13520","20220402142832"
"37","Rigaudon","46268","","16584","20220317135429"
"38","Guerre_d'indépendance_des_États-Unis","47574","","104777","20220819114635"
"39","Université_du_Québec_à_Montréal","47817","","70277","20220819052517"
"40","Charles-René-Léonidas_d'Irumberry_de_Salaberry","48333","","2154","20210805224125"
"41","Juste_pour_rire","48472","","18612","20220224051400"
"42","Pont_Victoria_(Montréal)","48550","","12653","20210118172056"
"43","Comtés_du_Québec","49456","","16626","20220623142320"
"44","Gilles_Villeneuve","50906","","33428","20220822151042"
"45","Aéroport_international_Pierre-Elliott-Trudeau_de_Montréal","51764","","62816","20220611172611"
"46","Claude_Ryan","52272","","12829","20220530081201"
"47","Motoneige","53021","","61535","20220825094227"
"48","Luc_Plamondon","53747","","42776","20220530073834"
"49","Maire_de_Montréal","54964","","5863","20211215103920"
"50","Sirop_d'érable","56014","","25353","20220821053833"
"51","Marc_Lépine","56926","","11659","20220828062618"
"52","Tuerie_de_l'École_polytechnique_de_Montréal","56935","","52416","20220704155535"
"53","Violette_Nozière_(film)","57715","","16260","20220425140052"
"54","Mimi_d'Estée","57806","","2447","20201219180004"
"55","Edgar_Fruitier","57822","","13182","20220219124501"
"56","Rivière-du-Loup","58158","","62014","20220827013545"
"57","Diane_Dufresne","59380","","33869","20220824225527"
"58","Prix_Gémeaux","61152","","28566","20220307161859"
"59","Denys_Arcand","61702","","32191","20220228181306"
"60","Louis-Alexandre_Taschereau","62605","","39660","20220726212553"
"61","Baie_d'Hudson","63271","","15466","20220707151411"
"62","Cirque_du_Soleil","63334","","93863","20220820202645"
"63","Union_des_forces_progressistes","64087","","10487","20220821182147"
"64","Sainte-Marie–Saint-Jacques","64131","","9871","20201212164845"
"65","Île_d'Orléans","64868","","53443","20220821061005"
"66","Sillery_(Québec)","65225","","17367","20220814161705"
