"number","title","pageid","namespace","length","touched"
"1","Révolution_tranquille","34815","","53860","20220323174604"
"2","René_Lévesque","36606","","221979","20220906142030"
"3","Jean_Chrétien","41580","","38944","20220810191631"
"4","Claude_Ryan","52272","","12829","20220530081201"
"5","Maire_de_Montréal","54964","","5863","20211215103920"
"6","Louis-Alexandre_Taschereau","62605","","39660","20220726212553"
"7","Union_des_forces_progressistes","64087","","10487","20220821182147"
"8","Sainte-Marie–Saint-Jacques","64131","","9871","20201212164845"
"9","Parti_libéral_du_Québec","65492","","73918","20220829164204"
"10","Politique_au_Québec","65512","","14638","20210309032757"
"11","Président_de_l'Assemblée_nationale_du_Québec","65596","","11551","20220419075352"
"12","Assemblée_nationale_(Québec)","65692","","57012","20220814104223"
"13","Union_nationale_(Québec)","65706","","32741","20220828182726"
"14","Liste_des_élections_générales_québécoises","66558","","23052","20220415125718"
"15","Honoré_Beaugrand","67788","","41407","20220330005006"
"16","Sarto_Fournier","68366","","6253","20220427134843"
"17","Rassemblement_pour_l'indépendance_nationale","68584","","34625","20220312001518"
"18","Antonio_Barrette","69246","","17754","20220814140831"
"19","Camillien_Houde","69446","","58218","20220816190112"
"20","Jean_Charest","69958","","55418","20220722105729"
"21","Guy_André","73581","","2117","20200213171550"
"22","Gilles_Duceppe","86168","","21062","20220110041100"
"23","Bloc_québécois","86172","","68506","20220124011706"
"24","Commission_Gomery","86176","","14854","20211119031021"
"25","Lucien_Bouchard","91296","","39967","20220806011415"
"26","Action_démocratique_du_Québec","102054","","38644","20220720190623"
"27","Mario_Dumont","102091","","18576","20220511170803"
"28","Marie_Grégoire","102099","","7278","20211209053816"
"29","François_Gaudreau","102161","","2499","20220628182005"
"30","John_Jones_Ross","103008","","8558","20211114224803"
"31","Adhémar_Raynault","104053","","12004","20220721144018"
"32","Jean_Drapeau","104057","","27122","20220530073228"
"33","Alphonse_Desjardins_(homme_politique)","104085","","7542","20220810145815"
"34","Office_québécois_de_la_langue_française","109766","","18547","20220714145519"
"35","Charte_de_la_langue_française","114058","","40398","20220826191746"
"36","Nationalisme_québécois","114962","","55297","20220507142747"
