"number","title","pageid","namespace","length","touched"
"1","Crêpe","598","","24633","20220904141719"
"2","Cuisine_québécoise","838","","80347","20221004164601"
"3","Inuktitut","1560","","13129","20220818223544"
"4","Fête_nationale_du_Québec","4860","","26655","20220807171939"
"5","Montréal","5525","","246938","20221003124925"
"6","Fleuve_Saint-Laurent","5745","","41319","20220928201729"
"7","Île_de_Montréal","6444","","15058","20220919074940"
"8","Rivière_des_Outaouais","6445","","28360","20220228203849"
"9","Système_éducatif_au_Québec","8024","","63653","20220914082146"
"10","Cégep","8173","","28012","20220401210804"
"11","Québécois_libre","16525","","3945","20220329153411"
"12","Parc_national_de_Miguasha","21372","","31162","20220411162631"
"13","Hubert_Reeves","27167","","36854","20220918170543"
"14","Région_administrative_du_Québec","28754","","29255","20220427201848"
"15","Saguenay–Lac-Saint-Jean","28762","","73261","20220914150052"
"16","Jean-Pierre_Ronfard","29422","","3780","20201228134541"
"17","Wilfrid_Lemoine","29588","","19137","20211221133808"
"18","Jeux_olympiques_d'été_de_1976","30671","","50695","20220505200840"
"19","Nouvelle-France","32871","","54669","20220913211033"
"20","Géographie_du_Québec","34647","","23736","20220730195948"
"21","Histoire_du_Québec","34653","","95774","20220913155944"
"22","Français_québécois","34656","","138751","20221004114534"
"23","Révolution_tranquille","34815","","53860","20220323174604"
"24","Vaira_Vīķe-Freiberga","35198","","22627","20220903162511"
"25","René_Lévesque","36606","","222002","20220928200203"
"26","Municipalité_locale_(Québec)","36906","","60136","20220912032222"
"27","Jacques_Villeneuve","37008","","70923","20220928192051"
"28","Ô_Canada_!_mon_pays,_mes_amours","37392","","3764","20220418012553"
"29","Culture_québécoise","39371","","33634","20220729105842"
"30","Jean_Chrétien","41580","","38934","20220926173312"
"31","Université_de_Montréal","41869","","75347","20220921171216"
"32","Mont_St-Benoît","41886","","960","20190209154535"
"33","Victor_et_Berthold","42060","","2234","20201125173948"
"34","Bas-Saint-Laurent","42126","","108132","20220307125537"
"35","Jacques_Cartier","45313","","54224","20220928200549"
"36","Norman_McLaren","45659","","13520","20220402142832"
"37","Rigaudon","46268","","16584","20220317135429"
"38","Guerre_d'indépendance_des_États-Unis","47574","","104842","20221003110027"
"39","Université_du_Québec_à_Montréal","47817","","70277","20220819052517"
"40","Charles-René-Léonidas_d'Irumberry_de_Salaberry","48333","","2154","20210805224125"
"41","Juste_pour_rire","48472","","18612","20220224051400"
"42","Pont_Victoria_(Montréal)","48550","","12653","20210118172056"
"43","Comtés_du_Québec","49456","","16626","20220623142320"
"44","Gilles_Villeneuve","50906","","33921","20220930160532"
"45","Aéroport_international_Pierre-Elliott-Trudeau_de_Montréal","51764","","62816","20220611172611"
"46","Claude_Ryan","52272","","12829","20220530081201"
"47","Motoneige","53021","","67892","20221004154609"
"48","Luc_Plamondon","53747","","42776","20220530073834"
"49","Maire_de_Montréal","54964","","5863","20211215103920"
"50","Sirop_d'érable","56014","","25353","20220916143431"
"51","Marc_Lépine","56926","","11655","20220921173038"
"52","Tuerie_de_l'École_polytechnique_de_Montréal","56935","","52931","20220930052402"
"53","Violette_Nozière_(film)","57715","","16260","20220425140052"
"54","Mimi_d'Estée","57806","","2447","20201219180004"
"55","Edgar_Fruitier","57822","","14607","20220913050857"
"56","Rivière-du-Loup","58158","","62041","20220915060652"
"57","Diane_Dufresne","59380","","33788","20220926181144"
"58","Prix_Gémeaux","61152","","28638","20220920064049"
"59","Denys_Arcand","61702","","32219","20220906024106"
"60","Louis-Alexandre_Taschereau","62605","","39280","20220928130403"
"61","Baie_d'Hudson","63271","","15476","20220911213524"
"62","Cirque_du_Soleil","63334","","93863","20220820202645"
"63","Union_des_forces_progressistes","64087","","10487","20220821182147"
"64","Sainte-Marie–Saint-Jacques","64131","","9977","20221004012259"
"65","Île_d'Orléans","64868","","53405","20220927101605"
"66","Sillery_(Québec)","65225","","17731","20221003193907"
"67","Cégep_de_Sainte-Foy","65264","","8300","20220916174221"
"68","Parti_libéral_du_Québec","65492","","73993","20221004210314"
"69","Politique_au_Québec","65512","","14683","20220930165108"
"70","Président_de_l'Assemblée_nationale_du_Québec","65596","","11551","20220419075352"
"71","Assemblée_nationale_(Québec)","65692","","57144","20221004141900"
"72","Union_nationale_(Québec)","65706","","32661","20220912143154"
"73","La_Bottine_souriante","65714","","21926","20220906130557"
"74","Économie_du_Québec","65720","","41620","20220926024853"
"75","Université_du_Québec","65737","","15727","20211226165307"
"76","Les_Cowboys_fringants","65921","","48060","20220922035920"
"77","Nord-du-Québec","65948","","70990","20220419163922"
"78","Jean_Leloup","65964","","37172","20220925180315"
"79","La_Bolduc","65973","","93183","20220903192938"
"80","Laval_(Québec)","66004","","66857","20220805075944"
"81","Robert_Charlebois","66044","","35570","20220926193341"
"82","Estrie","66050","","36408","20220919174637"
"83","Oscar_Peterson","66069","","13177","20220927142055"
"84","Gilles_Archambault","66118","","14807","20220921183016"
"85","Gaspésie","66119","","57574","20220924082429"
"86","Gaspésie–Îles-de-la-Madeleine","66127","","18126","20220724020324"
"87","Geneviève_Bujold","66146","","17968","20220927063011"
"88","Roch_Carrier","66179","","9358","20220721143119"
"89","Charles_Daudelin","66239","","9596","20220501221413"
"90","Georges_Dor","66245","","13313","20220907230959"
"91","Pierre_Granche","66328","","7364","20220918001928"
"92","Anne_Hébert","66334","","35788","20221001104050"
"93","Guido_Molinari","66386","","17993","20220913155503"
"94","Edythe_Morahan_de_Lauzon","66415","","884","20211127154523"
